property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
25690,-37.603722999999995,144.930229,18 Hambledon Court,Craigieburn,4410000,house,2012,4,2,2,SC_110,1050.0,40221,1174.0,46.0,0,hospital_104,5300.0,S_005,987.0
71996,-37.84186172,145.2535248,11 Larne Avenue,Bayswater,5360000,house,2009,3,1,2,SC_032,3901.0,19870,1285.0,50.0,0,hospital_002,1989.0,S_139,1181.0
13694,-37.744169,144.893214,105 Ogilvie Street,Essendon,16500000,house,2016,4,2,2,SC_082,1571.0,20037,2415.0,21.0,0,hospital_184,1065.0,S_197,1519.0
21030,-37.761434,144.954727,31 Sutherland Street,Brunswick,5650000,house,2011,2,1,0,SC_030,3257.0,19967,525.0,23.0,0,hospital_011,823.0,S_074,1041.0
86423,-37.914938,144.997815,25 Male Street,Brighton,2640000,house,2016,4,2,2,SC_046,4488.0,19951,135.0,22.0,0,hospital_156,653.0,S_009,186.0
55837,-37.840653,145.05615600000002,6 Pine Avenue,Camberwell,21970000,house,2012,5,3,2,SC_099,1823.0,19851,1359.0,30.0,0,hospital_168,602.0,S_113,1299.0
87836,-37.937102,144.998909,59 Orlando Street,Hampton,10800000,house,2009,3,2,0,SC_046,3472.0,19949,245.0,27.0,0,hospital_036,728.0,S_088,295.0
75314,-37.896024,145.052271,57 Morgan Street,Carnegie,13780000,house,2014,4,2,2,SC_041,1375.0,19942,1128.0,32.0,0,hospital_126,2934.0,S_015,997.0
72721,-37.846318,145.29920800000002,1/163 Albert Avenue,Boronia,7040000,house,2011,3,1,1,SC_049,5412.0,19869,2043.0000000000002,52.0,0,hospital_049,2321.0,S_146,2096.0
55471,-37.837226,145.081801,3 Hunter Road,Camberwell,21450000,house,2010,4,2,2,SC_099,2534.0,19850,931.0,32.0,0,hospital_089,2497.0,S_160,981.0
81375,-37.984062,145.222712,52 King Street,Dandenong,4552000,house,2011,4,2,2,SC_112,751.0,19888,1315.0,53.0,0,hospital_119,350.0,S_184,639.0
18243,-37.681162,144.928857,15 Marong Court,Broadmeadows,5856000,house,2016,3,1,1,SC_072,3435.0,20030,841.0,37.0,0,hospital_104,3472.0,S_153,721.0
64328,-37.795614,145.303503,35 Timms Avenue,Croydon,2120000,house,2015,4,1,2,SC_022,1838.0,19877,1441.0,53.0,0,hospital_164,4426.0,S_224,944.0
79485,-38.00093079,145.1498108,1 Sheffield Way,Keysborough,6183000,house,2009,5,3,2,SC_057,2256.0,19890,4443.0,48.0,0,hospital_096,2029.0,S_079,2171.0
94611,-37.914396999999994,145.048239,11 Abergeldie Avenue,Mckinnon,20040000,house,2015,4,2,2,SC_046,2926.0,19940,984.0,36.0,0,hospital_159,1856.0,S_107,785.0
44734,-37.69596481,145.1114655,25 Somerleigh Crescent,Greensborough,7140000,house,2009,5,3,2,SC_051,4923.0,19985,933.0,39.0,0,hospital_075,1133.0,S_210,1116.0
46985,-37.723349,145.16270600000001,3 Eucalyptus Road,Eltham,10260000,house,2015,4,2,3,SC_051,5537.0,19987,1705.0,44.0,0,hospital_075,5401.0,S_194,1018.0
26177,-37.595209999999994,144.940856,26 Kernan Court,Craigieburn,5120000,house,2012,3,2,2,SC_110,341.0,40221,767.0,46.0,0,hospital_104,6434.0,S_005,348.0
17980,-37.69036,144.927398,10 Freda Street,Broadmeadows,3510000,house,2013,3,1,2,SC_059,3746.0,20030,1064.0,37.0,0,hospital_104,4458.0,S_153,1457.0
37998,-37.783444,145.034051,14 St Gothards Road,Alphington,12650000,house,2013,3,2,0,SC_001,1858.0,19931,614.0,21.0,0,hospital_029,1117.0,S_219,1821.0
49781,-37.814547999999995,145.06008899999998,914 Burke Road,Deepdene,15300000,house,2010,3,2,2,SC_099,1105.0,19853,1344.0,24.0,0,hospital_064,1224.0,S_113,1631.0
43535,-37.7076002,145.0810616,18 High Street,Watsonia,6760000,house,2013,3,1,2,SC_017,5474.0,19984,445.0,35.0,0,hospital_037,2193.0,S_020,1705.0
31334,-37.75203,144.985123,55 Comas Grove,Thornbury,14400000,house,2016,3,2,2,SC_103,2028.0,20014,1231.0,24.0,0,hospital_144,1273.0,S_105,1632.0
17448,-37.69560623,144.9324036,56 Bindi Street,Glenroy,2900000,house,2009,2,1,0,SC_059,4260.0,20031,1459.0,35.0,0,hospital_104,5110.0,S_209,1373.0
8321,-37.747885,144.746997,24 Strickland Crescent,Burnside,4440000,house,2010,3,2,2,SC_048,1730.0,20001,4607.0,36.0,0,hospital_057,6105.0,S_156,839.0
14215,-37.744699,144.92793799999998,2A Bridge Street,Essendon,11494000,house,2015,3,1,1,SC_082,2302.0,20035,135.0,26.0,0,hospital_184,2029.9999999999998,S_197,1539.0
27028,-37.582351,144.92586599999998,48 Highbury Circuit,Craigieburn,6375000,house,2011,3,2,2,SC_005,989.0,40221,2658.0,46.0,0,hospital_104,7623.0,S_178,1482.0
81098,-37.988525,145.223559,29 Ronald Street,Dandenong,7500000,house,2011,3,1,1,SC_112,762.0,19888,1224.0,53.0,0,hospital_119,553.0,S_184,635.0
10197,-37.79032,144.932375,2 Barnett Street,Kensington,11024000,house,2013,2,1,0,SC_011,1679.0,20041,418.0,14.0,0,hospital_114,510.0,S_086,528.0
6105,-37.780557,144.837753,12 Mellor Street,Sunshine,5676000,house,2010,2,2,2,SC_102,417.0,20021,986.0,25.0,0,hospital_174,560.0,S_080,427.0
12602,-37.69506454,144.7556915,2/20 Cynthia Court,Hillside,3000000,house,2009,3,2,1,SC_048,4400.0,20000,1763.0,39.0,0,hospital_057,8936.0,S_163,331.0
7913,-37.780831,144.802576,60 McLaughlin Street,Ardeer,5865000,house,2012,3,1,2,SC_102,2732.0,20004,1979.0,28.0,0,hospital_057,2495.0,S_130,1891.0
40552,-37.69791794,145.0440369,4 Huon Crt,Bundoora,4641000,house,2008,3,2,2,SC_047,4682.0,20008,2852.0,37.0,0,hospital_037,1243.0,S_155,957.0
36488,-37.66406,145.027453,5 Manus Court,Lalor,4225000,house,2012,3,1,2,SC_062,5298.0,20006,926.0,41.0,0,hospital_053,1692.0,S_229,734.0
48027,-37.793917,145.02172,19 Stevens Close,Kew,6579000,house,2008,3,2,1,SC_083,3197.0,19930,1695.0,19.0,0,hospital_029,532.0,S_039,1547.0
51151,-37.780915,145.127608,27 Kelly Street,Doncaster,5576000,house,2013,4,2,2,SC_091,701.0,20042,4299.0,30.0,0,hospital_194,1379.0,S_188,748.0
85695,-37.877759000000005,144.999124,5 Acacia Street,Elsternwick,10700000,house,2012,4,1,0,SC_015,1907.0,19955,399.0,16.0,0,hospital_009,952.0,S_133,755.0
61367,-37.811682,145.225217,16 Nelson Street,Ringwood,8052000,house,2010,2,1,1,SC_032,338.0,19902,573.0,43.0,0,hospital_105,1572.0,S_040,312.0
12402,-37.695071999999996,144.758958,16 Dundee Way,Sydenham,3150000,house,2014,3,2,1,SC_048,4489.0,20000,1501.0,39.0,0,hospital_057,8772.0,S_163,609.0
76801,-37.918507,145.138703,36 Dennis Street,Clayton,12300000,house,2014,3,1,1,SC_073,4368.0,19915,1737.0,38.0,0,hospital_065,1493.0,S_169,1948.0
57104,-37.820195,145.07873999999998,19 View Street,Canterbury,29260000,house,2012,4,2,1,SC_099,1878.0,19893,525.0,29.0,0,hospital_064,2967.0,S_160,1783.0
11881,-37.712631,144.81383200000002,53 Burrowye Crescent,Keilor,8000000,house,2015,4,2,2,SC_107,1729.0,20001,2562.0,36.0,0,hospital_057,5328.0,S_222,1953.0
14878,-37.75714874,144.90727230000002,9 Waverley Street,Essendon,7447000,house,2008,4,1,2,SC_085,2404.0,20037,796.0,21.0,0,hospital_128,1282.0,S_197,1433.0
7123,-37.794084999999995,144.826842,91 Chapman Street,Sunshine,5022000,house,2013,3,1,1,SC_102,1436.0,20021,815.0,25.0,0,hospital_174,1892.0,S_080,1491.0
72612,-37.847221000000005,145.25895400000002,83a Orange Grove,Bayswater,1600000,house,2016,2,1,2,SC_032,4663.0,19870,1012.0,50.0,0,hospital_002,1225.0,S_139,843.0
64084,-37.791489,145.273528,27 Stirling Road,Croydon,13200000,house,2015,4,2,2,SC_022,1192.0,19878,762.0,49.0,0,hospital_164,2402.0,S_181,827.0
30375,-37.77047,144.995509,72 Herbert Street,Northcote,8460000,house,2010,2,1,2,SC_103,3485.0,20016,70.0,21.0,0,hospital_035,1374.0,S_105,2275.0
17208,-37.707603000000006,144.943804,40 Angus Street,Hadfield,10360000,house,2016,3,1,1,SC_030,2817.0,19961,1535.0,36.0,0,hospital_139,4905.0,S_004,451.0
7689,-37.744202,144.761879,98 Opie Road,Albanvale,2880000,house,2016,3,1,2,SC_048,2186.0,20001,3260.0,36.0,0,hospital_057,4974.0,S_156,1200.0
1436,-37.794165,144.88299999999998,8 Dudley Street,Footscray,8448000,house,2016,3,2,0,SC_043,1891.0,20023,875.0,19.0,0,hospital_056,304.0,S_201,1510.0
23029,-37.74791336,144.9525299,60 Hawthorn Street,Coburg,8636000,house,2008,2,1,1,SC_030,1739.0,19966,1097.0,26.0,0,hospital_084,860.0,S_172,1317.0
74137,-37.910107,145.27626899999998,2 Tullaroop Court,Lysterfield,6000000,house,2016,3,1,2,SC_049,3307.0,19867,3363.0,58.0,0,hospital_150,3482.0,S_199,2592.0
85609,-37.887483,145.003994,4 Gisborne Street,Elsternwick,19350000,house,2011,3,1,2,SC_015,2926.0,19954,408.0,17.0,0,hospital_116,518.0,S_193,184.0
74804,-37.893615000000004,145.061096,21 McLaurin Road,Carnegie,15400000,house,2016,3,1,3,SC_041,1010.0,19919,670.0,30.0,0,hospital_108,2951.0,S_015,778.0
93063,-38.009611,145.09183000000002,25 Park Street,Mordialloc,12155000,house,2011,3,2,2,SC_003,4290.0,19863,497.0,43.0,0,hospital_001,2691.0,S_119,483.0
88132,-37.942736,145.057925,2 Matilda Road,Moorabbin,12640000,house,2015,3,2,2,SC_079,1642.0,19872,1545.0,35.0,0,hospital_082,1976.0,S_069,1642.0
62029,-37.80672836,145.2241211,49 Loughnan Road,Ringwood,10850000,house,2009,2,2,1,SC_032,788.0,19902,1105.0,43.0,0,hospital_105,1738.0,S_040,710.0
31955,-37.745020000000004,145.01381999999998,15 Watson Street,Preston,14400000,house,2016,3,1,1,SC_103,1207.0,20013,1204.0,26.0,0,hospital_035,2060.0,S_105,1122.0
32197,-37.741710999999995,145.01967199999999,2 Marjorie Street,Preston,8715000,house,2009,3,1,1,SC_047,1000.9999999999999,20012,1719.0,28.0,0,hospital_090,2463.0,S_084,1567.0
55924,-37.840740999999994,145.07798300000002,73 Glyndon Road,Camberwell,26350000,house,2010,4,2,0,SC_099,2531.0,19850,419.0,32.0,0,hospital_168,2107.0,S_160,886.0
45821,-37.712056,145.130382,130 Sherbourne Road,Montmorency,5712000,house,2013,3,1,1,SC_051,4994.0,19986,860.0,40.0,0,hospital_075,2292.0,S_194,2454.0
19033,-37.676269,144.937144,59 Dallas Drive,Dallas,3920000,house,2012,3,1,2,SC_072,3130.0,19960,1415.0,40.0,0,hospital_104,3206.0,S_153,1380.0
8226,-37.756813,144.788049,2 Fairfield Walk,Cairnlea,7140000,house,2011,3,2,2,SC_107,3700.0,20002,1699.0,33.0,0,hospital_057,2364.0,S_159,243.0
14400,-37.75994,144.901442,39 Beaver Street,Aberfeldie,21120000,house,2013,2,1,3,SC_085,1842.0,20037,1370.0,21.0,0,hospital_068,1430.0,S_049,1825.0
94168,-38.074502,145.125916,25 Stanley Street,Carrum,2600000,house,2013,3,2,2,SC_070,5194.0,19858,310.0,55.0,0,hospital_043,8344.0,S_077,2410.0
95077,-37.911467,145.02473,2 Pascoe Avenue,Bentleigh,9185000,house,2010,3,1,1,SC_046,3342.0,19940,1199.0,36.0,0,hospital_126,1298.0,S_107,1770.0
20362,-37.769589,144.970348,107 Albert Street,Brunswick,4520000,house,2011,3,1,0,SC_103,4346.0,19968,970.0,21.0,0,hospital_144,1465.0,S_074,910.0
94217,-38.07930374,145.124054,541 Station Street,Carrum,12155000,house,2009,5,3,2,SC_070,5218.0,19858,511.0,55.0,0,hospital_043,7853.0,S_077,2869.0
63640,-37.784825,145.292264,160 Dorset Road,Croydon,3720000,house,2014,3,2,1,SC_022,1781.0,19878,1565.0,49.0,0,hospital_164,4114.0,S_181,1590.0
50008,-37.76616,145.10003,2 Lonsdale Street,Bulleen,6930000,house,2014,3,2,2,SC_009,716.0,19935,3607.0,28.0,0,hospital_193,1546.0,S_154,788.0
75420,-37.893615000000004,145.057429,7 The Crossover,Carnegie,9630000,house,2013,4,2,1,SC_041,993.0,19920,827.0,28.0,0,hospital_108,2966.0,S_015,666.0
77728,-37.939151,145.21511999999998,21 Royal Oak Court,Mulgrave,5600000,house,2012,3,2,2,SC_073,4468.0,19890,4583.0,48.0,0,hospital_026,178.0,S_067,2364.0
